T1A,E20 67R-010802,630,48,200,25,1
T1B,E20 67R-010855,630,55,225,26.2,1
T1C,E20 67R-010804,630,62,250,27.4,1
T1D,E20 67R-010805,630,67,270,28.3,1
ZTW T1S,E20 67R-01 1060,630,44,180,20,1
ZTW T1A,E20 67R-01 1061,630,49,200,21,1
ZTW T1B,E20 67R-01 1062,630,56,225,22,1
ZTW T1C,E20 67R-01 1063,630,63,250,23,1
ZTW T1D,E20 67R-01 1064,630,69,270,24,1
ZTW T1E,E20 67R-01 1065,630,77,300,26,1
T2A,E20 67R-010853,600,41,190,22.5,1
T2B,E20 67R-010802,600,44,200,23,1
T2C,E20 67R-010855,600,50,225,24.2,1
T2E,E20 67R-010804,600,55,250,25.2,1
T2F,E20 67R-010805,600,60,270,26,1
ZTW T2S,E20 67R-01 1088,600,38,180,19,1
ZTW T2A,E20 67R-01 1089,600,41,190,20,1
ZTW T2B,E20 67R-01 1090,600,44,200,21,1
ZTW T2C,E20 67R-01 1091,600,50,225,22,1
ZTW T2E,E20 67R-01 1092,600,55,250,23,1
ZTW T2F,E20 67R-01 1093,600,60,270,24,1
T3A,E20 67R-010802,580,41,200,22.3,1
T3B,E20 67R-010855,580,46,225,23.4,1
ZTW T3S,E20 67R-01 1094,580,37,180,18,1
ZTW T3A,E20 67R-01 1095,580,41,200,19,1
ZTW T3B,E20 67R-01 1096,580,46,225,20,1
T7A,E20 67R-010547,565,34,180,20,1
ZTW T7A,E20 67R-01 1097,565,34,180,17,1
T10A,E20 67R-010802,650,52,200,26,1
T10B,E20 67R-010803,650,59,230,28,1
T10C,E20 67R-010804,650,67,250,29,1
T10D,E20 67R-010805,650,72,270,31,1
ZTW T10S,E20 67R 01 1119,650,47,180,21,1
ZTW T10A,E20 67R 01 1120,650,52,200,22,1
ZTW T10B,E20 67R 01 1121,650,59,230,23,1
ZTW T10C,E20 67R 01 1122,650,67,250,24,1
ZTW T10D,E20 67R 01 1123,650,72,270,25,1
ZTW T10E,E20 67R 01 1124,650,79,300,26,1
T12A,E20 67R-010804,720,80,250,35,1
T12B,E20 67R-010805,720,87,270,37,1
T12C,E20 67R-010954,720,98,300,39,1
T12S,E20 67R 01 1114,720,56,180,29,1
T12M,E20 67R 01 1115,720,62,200,31,1
T12L,E20 67R 01 1116,720,74,230,33,1
T13A,E20 67R-010802,680,58,200,28,1
T13B,E20 67R-010855,680,67,225,30,1
T13C,E20 67R-010804,680,75,250,32,1
T13D,E20 67R-010805,680,82,270,34,1
T4A,E20 67R-010806,630,48,200,25,2
T4B,E20 67R-010856,630,55,225,26.2,2
T4C,E20 67R-010808,630,62,250,27.4,2
T4D,E20 67R-010809,630,67,270,28.3,2
ZTZ T4A,E20 67R-01 1066,630,49,200,21,2
ZTZ T4B,E20 67R-01 1067,630,56,225,22,2
ZTZ T4C,E20 67R-01 1068,630,63,250,23,2
ZTZ T4D,E20 67R-01 1069,630,69,270,24,2
ZTZ T4E,E20 67R-01 1070,630,77,300,26,2
T5A,E20 67R-010854,600,41,190,22.5,2
T5B,E20 67R-010806,600,44,200,23,2
T5C,E20 67R-010856,600,50,225,23.4,2
T5E,E20 67R-010808,600,55,250,25.2,2
T5F,E20 67R-010809,600,60,270,26,2
ZTZ T5A,E20 67R-01 1098,600,41,190,20,2
ZTZ T5B,E20 67R-01 1099,600,44,200,21,2
ZTZ T5C,E20 67R-01 1100,600,50,225,22,2
ZTZ T5E,E20 67R-01 1101,600,55,250,23,2
ZTZ T5F,E20 67R-01 1102,600,60,270,24,2
T6A,E20 67R-010806,580,41,200,22.3,2
T6B,E20 67R-010856,580,46,225,23.4,2
ZTZ T6A,E20 67R-01 1103,580,41,200,19,2
ZTZ T6B,E20 67R-01 1104,580,46,225,20,2
T8A,E20 67R-010603,565,34,180,20,2
ZTZ T8A,E20 67R-01 1105,565,34,180,17,2
T9A,E20 67R-010806,650,52,200,26,2
T9B,E20 67R-010807,650,59,230,28,2
T9C,E20 67R-010808,650,67,250,29,2
T9D,E20 67R-010809,650,72,270,31,2
ZTZ T9A,E20 67R 01 1125,650,52,200,22,2
ZTZ T9B,E20 67R 01 1126,650,59,230,23,2
ZTZ T9C,E20 67R 01 1127,650,67,250,24,2
ZTZ T9D,E20 67R 01 1128,650,72,270,25,2
ZTZ T9E,E20 67R 01 1129,650,79,300,26,2
TP T16A,E20 67R 01 1144,630,52,200,22,3
TP T16B,E20 67R 01 1145,630,58,225,24,3
TP T16C,E20 67R 01 1146,630,66,250,26,3
TP T16D,E20 67R 01 1147,630,72,270,27,3
TP T16E,E20 67R 01 1148,630,82,300,29,3
T11A,E20 67R-010914,650,58,200,27,3
T11B,E20 67R-010915,650,64,230,29,3
T11C,E20 67R-010916,650,72,250,31,3
T11D,E20 67R-010917,650,78,270,32,3
TP T11A,E20 67R 01 1134,650,58,200,23,3
TP T11B,E20 67R 01 1135,650,64,230,25,3
TP T11C,E20 67R 01 1136,650,72,250,27,3
TP T11D,E20 67R 01 1137,650,78,270,28,3
TP T11E,E20 67R 01 1138,650,86,300,30,3
T14A,E20 67R-010914,680,60,200,30,3
T14B,E20 67R-011031,680,69,225,31,3
T14C,E20 67R-010916,680,77,250,33,3
T14D,E20 67R-010917,680,84,270,35,3
TP T14A,E20 67R 01 1139,680,60,200,24,3
TP T14B,E20 67R 01 1140,680,69,225,26,3
TP T14C,E20 67R 01 1141,680,78,250,28,3
TP T14D,E20 67R 01 1142,680,85,270,30,3
TP T14E,E20 67R 01 1143,680,95,300,32,3
T15A,E20 67R-010916,720,82,250,35,3
T15B,E20 67R-010917,720,92,270,37,3
T15C,E20 67R-011032,720,103,300,39,3
T15M,E20 67R 01 1117,720,64,200,31,3
T15L,E20 67R 01 1118,720,76,230,33,3
T15A,E20 67R-01 1109,720,82,250,35,3
T15B,E20 67R-01 1110,720,92,270,37,3
T15C,E20 67R-01 1111,720,103,300,39,3
T15D,E20 67R-01 1112,720,125,340,41,3
W1A,E20 67R-010495,315,35,540,15,4
W1B,E20 67R-010495,315,40,592,16.6,4
W1C,E20 67R-010496,315,45,670,17.5,4
W1D,E20 67R-010496,315,50,735,19.8,4
W1E,E20 67R-010497,315,55,800,21.3,4
W1F,E20 67R-010497,315,60,870,23,4
W1G,E20 67R-010498,315,65,940,25,4
W1H,E20 67R-010498,315,70,1000,26,4
W1I,E20 67R-010499,315,80,1140,29.2,4
W1J,E20 67R-010499,315,90,1275,32.3,4
W1K,E20 67R-010500,315,100,1410,35.5,4
W2B,E20 67R-010688,360,50,589,19.6,4
W2C,E20 67R-010688,360,60,674,22.6,4
W2D,E20 67R-010689,360,70,774,25.3,4
W2E,E20 67R-010689,360,80,878,28,4
W2F,E20 67R-010690,360,90,980,30.7,4
W2G,E20 67R-010690,360,100,1082,33.4,4
W2H,E20 67R-010691,360,110,1184,36,4
